Season,Name,Age,Hometown,Occupation,Outcome
21,Astrid Loch[28],26,"Tampa, Florida",Plastic Surgery Office Manager,Week 4
21,Brittany Farrar[19],26,"Santa Monica, California",Travel Nurse,Week 3
21,Dominique Alexis[19],25,"Los Angeles, California",Restaurant Server,18
21,Elizabeth Whitelaw[33],24,"New Trier, Illinois",Marketing Manager,Week 2
21,"Elizabeth ""Liz"" Sandoz[11]",29,"Scottsbluff, Nebraska",Doula,22
21,Angela Amezcua[37],26,"Cumberland, Maryland",Model,Week 1
22,Becca Kufrin[9],27,"Prior Lake, Minnesota",Publicist,Winner
22,Lauren Burnham[11],25,"Virginia Beach, Virginia",Technology Salesperson,Runner-up
22,Kendall Long[12],26,"Santa Clarita, California",Creative Director,Week 9
22,Tia Booth[14],26,"Weiner, Arkansas",Physical Therapist,Week 8
22,Bekah Martinez[12][16],22,"Clovis, California",Nanny,Week 7
22,Seinne Fleming[12][18],27,"Long Beach, California",Commercial Real Estate Agent,6
22,Jacqueline Trumbull[19],26,"Morgantown, West Virginia",Research Coordinator,7 (quit)
22,Chelsea Roy[12][20][21],29,"South Portland, Maine",Real Estate Executive Assistant,Week 6
